iter	Passed	Remaining
0	2	2255
1	4	2115
2	6	2085
3	8	2062
4	10	2045
5	12	2032
6	14	2037
7	16	2026
8	18	2032
9	20	2039
10	22	2028
11	24	2041
12	26	2041
13	28	2030
14	30	2027
15	32	2021
16	34	2018
17	37	2028
18	39	2022
19	41	2014
20	43	2017
21	45	2012
22	47	2007
23	49	2012
24	51	2009
25	53	2009
26	55	2011
27	57	2004
28	59	2003
29	61	1996
30	63	1992
31	65	1995
32	67	1990
33	69	1984
34	71	1984
35	74	1981
36	75	1977
37	78	1980
38	80	1977
39	82	1973
40	84	1973
41	86	1970
42	88	1965
43	90	1965
44	92	1962
45	94	1958
46	96	1960
47	98	1954
48	100	1949
49	102	1949
50	104	1946
51	106	1943
52	108	1942
53	110	1938
54	112	1935
55	114	1935
56	116	1932
57	118	1927
58	120	1923
59	122	1920
60	124	1919
61	126	1917
62	128	1913
63	130	1911
64	132	1909
65	134	1905
66	136	1902
67	138	1904
68	141	1908
69	143	1913
70	146	1912
71	148	1907
72	150	1906
73	152	1903
74	154	1900
75	156	1898
76	158	1894
77	160	1891
78	161	1887
79	163	1884
80	165	1881
81	168	1881
82	170	1880
83	172	1879
84	174	1877
85	176	1873
86	178	1872
87	180	1869
88	182	1867
89	184	1867
90	186	1864
91	188	1861
92	191	1863
93	193	1861
94	195	1859
95	197	1857
96	199	1856
97	201	1854
98	203	1851
99	205	1847
100	207	1844
101	209	1842
102	211	1840
103	213	1839
104	215	1837
105	217	1834
106	219	1834
107	221	1832
108	223	1829
109	225	1828
110	228	1826
111	230	1824
112	232	1824
113	234	1822
114	236	1820
115	238	1818
116	240	1815
117	242	1813
118	244	1811
119	246	1808
120	248	1807
121	250	1805
122	252	1803
123	254	1800
124	256	1798
125	258	1796
126	261	1794
127	262	1791
128	264	1789
129	267	1788
130	269	1785
131	271	1783
132	273	1783
133	275	1782
134	277	1779
135	280	1779
136	282	1777
137	284	1775
138	286	1773
139	288	1771
140	290	1770
141	292	1768
142	294	1765
143	296	1763
144	298	1761
145	300	1758
146	302	1757
147	304	1755
148	306	1753
149	309	1752
150	311	1749
151	313	1747
152	315	1745
153	317	1742
154	319	1740
155	321	1738
156	323	1735
157	325	1732
158	327	1731
159	329	1729
160	331	1726
161	333	1723
162	335	1722
163	337	1721
164	339	1719
165	341	1716
166	343	1715
167	345	1713
168	347	1710
169	350	1708
170	352	1706
171	354	1704
172	356	1702
173	357	1699
174	359	1696
175	362	1695
176	364	1692
177	365	1689
178	368	1688
179	370	1686
180	372	1683
181	374	1682
182	376	1680
183	378	1677
184	380	1675
185	382	1673
186	384	1670
187	386	1668
188	388	1666
189	390	1664
190	392	1662
191	394	1659
192	396	1657
193	398	1655
194	400	1652
195	402	1650
196	404	1648
197	406	1645
198	408	1643
199	410	1641
200	412	1639
201	414	1637
202	416	1635
203	418	1632
204	420	1631
205	422	1628
206	424	1626
207	426	1625
208	428	1622
209	430	1619
210	432	1618
211	434	1616
212	436	1613
213	438	1611
214	440	1609
215	442	1606
216	444	1605
217	446	1603
218	448	1600
219	450	1598
220	452	1596
221	454	1593
222	457	1592
223	459	1590
224	460	1587
225	463	1586
226	465	1583
227	467	1581
228	469	1579
229	471	1577
230	473	1575
231	475	1573
232	477	1571
233	479	1569
234	481	1566
235	483	1564
236	485	1562
237	487	1560
238	489	1557
239	491	1556
240	493	1553
241	495	1551
242	497	1549
243	499	1546
244	501	1544
245	503	1542
246	505	1540
247	507	1538
248	509	1535
249	511	1533
250	513	1531
251	515	1530
252	517	1528
253	519	1525
254	521	1524
255	523	1521
256	525	1519
257	527	1516
258	529	1514
259	531	1512
260	533	1510
261	535	1508
262	537	1505
263	539	1504
264	541	1501
265	543	1499
266	545	1498
267	547	1496
268	549	1493
269	551	1491
270	553	1489
271	555	1486
272	557	1484
273	559	1482
274	561	1479
275	563	1478
276	565	1476
277	567	1474
278	569	1472
279	571	1469
280	573	1468
281	575	1466
282	577	1463
283	579	1461
284	581	1459
285	583	1457
286	585	1455
287	587	1453
288	589	1450
289	591	1448
290	593	1446
291	595	1444
292	597	1442
293	599	1440
294	601	1438
295	604	1437
296	606	1434
297	608	1432
298	610	1431
299	612	1428
300	614	1426
301	616	1424
302	618	1422
303	620	1420
304	622	1418
305	624	1416
306	626	1414
307	628	1412
308	630	1410
309	632	1408
310	634	1406
311	636	1404
312	638	1402
313	640	1400
314	642	1397
315	644	1395
316	646	1393
317	648	1391
318	650	1388
319	652	1386
320	654	1384
321	656	1382
322	658	1380
323	660	1378
324	662	1376
325	664	1374
326	666	1372
327	668	1370
328	670	1368
329	672	1365
330	674	1363
331	676	1361
332	678	1359
333	681	1357
334	682	1355
335	684	1353
336	687	1351
337	688	1349
338	690	1347
339	692	1345
340	694	1342
341	697	1341
342	699	1339
343	701	1336
344	703	1334
345	705	1332
346	706	1330
347	708	1328
348	711	1326
349	713	1324
350	715	1322
351	717	1320
352	719	1318
353	720	1315
354	723	1313
355	725	1311
356	727	1309
357	729	1307
358	731	1305
359	733	1303
360	735	1301
361	737	1299
362	739	1298
363	742	1296
364	744	1294
365	746	1292
366	748	1290
367	750	1288
368	752	1286
369	754	1284
370	756	1282
371	758	1280
372	760	1278
373	762	1276
374	764	1273
375	766	1271
376	768	1269
377	770	1267
378	772	1265
379	774	1262
380	776	1261
381	778	1259
382	780	1257
383	782	1254
384	784	1252
385	786	1250
386	788	1248
387	790	1246
388	792	1244
389	794	1242
390	796	1239
391	798	1237
392	800	1235
393	801	1233
394	803	1231
395	806	1229
396	807	1227
397	809	1224
398	811	1222
399	813	1220
400	815	1218
401	817	1216
402	819	1214
403	821	1212
404	823	1210
405	825	1208
406	827	1205
407	829	1203
408	831	1201
409	833	1199
410	835	1197
411	837	1195
412	839	1193
413	841	1191
414	843	1188
415	845	1186
416	847	1184
417	849	1182
418	851	1180
419	853	1178
420	855	1176
421	857	1174
422	859	1172
423	861	1169
424	863	1167
425	865	1165
426	867	1163
427	869	1161
428	871	1159
429	873	1157
430	875	1155
431	877	1153
432	879	1151
433	881	1149
434	883	1147
435	885	1145
436	887	1143
437	889	1141
438	891	1139
439	893	1137
440	895	1135
441	897	1133
442	899	1131
443	901	1129
444	903	1127
445	906	1125
446	907	1123
447	909	1121
448	911	1119
449	913	1116
450	915	1114
451	917	1112
452	919	1110
453	921	1108
454	924	1106
455	925	1104
456	928	1102
457	930	1100
458	932	1098
459	933	1096
460	935	1094
461	937	1092
462	939	1089
463	941	1088
464	943	1085
465	945	1083
466	947	1081
467	949	1079
468	951	1077
469	953	1075
470	955	1073
471	957	1071
472	959	1068
473	961	1066
474	963	1064
475	965	1062
476	967	1060
477	968	1058
478	971	1056
479	973	1054
480	975	1052
481	977	1050
482	979	1048
483	981	1046
484	983	1044
485	985	1042
486	988	1040
487	990	1038
488	992	1036
489	994	1034
490	996	1032
491	998	1030
492	1000	1029
493	1002	1026
494	1004	1024
495	1006	1022
496	1008	1020
497	1010	1018
498	1012	1016
499	1014	1014
500	1016	1012
501	1018	1010
502	1020	1008
503	1022	1006
504	1024	1004
505	1027	1002
506	1029	1000
507	1031	998
508	1033	996
509	1035	994
510	1037	992
511	1039	990
512	1041	988
513	1043	986
514	1045	984
515	1047	982
516	1049	980
517	1051	978
518	1053	976
519	1055	974
520	1057	972
521	1059	970
522	1061	967
523	1063	965
524	1065	963
525	1067	961
526	1069	959
527	1071	957
528	1073	955
529	1075	953
530	1077	951
531	1079	949
532	1081	947
533	1083	945
534	1085	943
535	1087	941
536	1089	939
537	1091	936
538	1093	934
539	1095	932
540	1096	930
541	1099	928
542	1101	926
543	1103	924
544	1104	922
545	1106	920
546	1108	918
547	1110	916
548	1113	914
549	1114	912
550	1116	910
551	1118	908
552	1120	905
553	1122	903
554	1124	901
555	1126	899
556	1128	897
557	1130	895
558	1132	893
559	1134	891
560	1136	889
561	1138	887
562	1140	885
563	1142	883
564	1144	881
565	1146	879
566	1148	877
567	1150	875
568	1152	873
569	1154	871
570	1156	869
571	1158	866
572	1160	864
573	1162	862
574	1164	860
575	1166	858
576	1168	856
577	1170	854
578	1172	852
579	1174	850
580	1176	848
581	1177	846
582	1179	843
583	1181	841
584	1183	839
585	1185	837
586	1187	835
587	1189	833
588	1191	831
589	1193	829
590	1195	827
591	1197	825
592	1199	823
593	1201	821
594	1203	819
595	1205	817
596	1207	815
597	1209	812
598	1211	810
599	1213	808
600	1215	806
601	1217	804
602	1219	802
603	1220	800
604	1222	798
605	1224	796
606	1226	794
607	1228	792
608	1230	790
609	1232	788
610	1234	785
611	1236	783
612	1238	781
613	1240	779
614	1242	777
615	1244	775
616	1246	773
617	1248	771
618	1250	769
619	1252	767
620	1254	765
621	1256	763
622	1257	761
623	1260	759
624	1262	757
625	1263	755
626	1265	753
627	1267	751
628	1269	748
629	1271	746
630	1273	744
631	1275	742
632	1277	740
633	1279	738
634	1281	736
635	1283	734
636	1285	732
637	1287	730
638	1289	728
639	1291	726
640	1293	724
641	1295	722
642	1297	720
643	1299	718
644	1301	716
645	1303	714
646	1305	712
647	1307	710
648	1309	708
649	1311	706
650	1313	704
651	1315	702
652	1317	700
653	1319	698
654	1321	696
655	1323	694
656	1325	692
657	1327	690
658	1329	687
659	1331	685
660	1333	683
661	1335	681
662	1337	679
663	1339	677
664	1341	675
665	1343	673
666	1345	671
667	1347	669
668	1349	667
669	1351	665
670	1353	663
671	1355	661
672	1357	659
673	1359	657
674	1361	655
675	1362	653
676	1365	651
677	1367	649
678	1369	647
679	1371	645
680	1373	643
681	1374	641
682	1377	639
683	1379	637
684	1380	635
685	1383	633
686	1385	631
687	1387	629
688	1389	627
689	1391	624
690	1393	622
691	1395	620
692	1396	618
693	1398	616
694	1400	614
695	1402	612
696	1404	610
697	1406	608
698	1408	606
699	1410	604
700	1412	602
701	1414	600
702	1416	598
703	1418	596
704	1420	594
705	1422	592
706	1424	590
