formula,T,Cp
Be1I2,1400.0,89.34100000000002
Be1I2,1300.0,89.115
Be1I2,1200.0,88.78
Be1I2,1100.0,88.337
Be1I2,1000.0,87.789
Be1I2,900.0,87.132
Be1I2,800.0,86.366
Be1I2,753.0,85.944
Be1I2,600.0,84.19
Be1I2,500.0,81.638
Be1I2,400.0,76.868
Be1I2,300.0,69.128
Be1I2,298.0,68.961
Br3Zr1,1900.0,106.566
Br3Zr1,1800.0,106.525
Br3Zr1,1700.0,106.483
Br3Zr1,1600.0,106.441
Br3Zr1,1500.0,106.399
Br3Zr1,1400.0,106.357
Br3Zr1,1300.0,106.315
Br3Zr1,1200.0,106.232
Br3Zr1,1100.0,106.148
Br3Zr1,1000.0,106.064
Br3Zr1,900.0,105.855
Br3Zr1,800.0,105.437
Br3Zr1,700.0,105.018
Br3Zr1,600.0,104.6
Br3Zr1,500.0,103.763
Br3Zr1,400.0,102.508
Br3Zr1,300.0,99.562
Br3Zr1,298.0,99.483
Br2Hg2,1400.0,125.143
Br2Hg2,1300.0,124.209
Br2Hg2,1200.0,123.47
Br2Hg2,1100.0,122.539
Br2Hg2,1000.0,121.545
Br2Hg2,900.0,120.416
Br2Hg2,800.0,119.118
Br2Hg2,700.0,117.529
Br2Hg2,600.0,115.604
Br2Hg2,500.0,113.052
Br2Hg2,400.0,109.621
Br2Hg2,300.0,104.703
Br2Hg2,298.0,104.6
B1H3O3,298.0,81.337
B1H3O3,1400.0,181.279
B1H3O3,1300.0,177.653
B1H3O3,1200.0,173.218
B1H3O3,1100.0,167.97400000000005
B1H3O3,1000.0,161.921
B1H3O3,900.0,155.017
B1H3O3,800.0,147.27700000000004
B1H3O3,700.0,137.915
B1H3O3,600.0,127.194
B1H3O3,500.0,114.642
B1H3O3,400.0,100.207
B1H3O3,300.0,81.755
Ca1I2,1400.0,98.91
Ca1I2,1300.0,96.943
Ca1I2,1200.0,94.977
Ca1I2,1100.0,93.0
Ca1I2,1052.0,92.048
Ca1I2,1000.0,91.002
Ca1I2,900.0,89.036
Ca1I2,800.0,87.069
Ca1I2,700.0,85.103
Ca1I2,600.0,83.13600000000002
Ca1I2,500.0,81.17
Ca1I2,400.0,79.161
Ca1I2,300.0,77.195
Ca1I2,298.0,77.157
Be1H2O2,298.0,65.70100000000001
Be1H2O2,900.0,110.399
Be1H2O2,800.0,107.495
Be1H2O2,700.0,103.956
Be1H2O2,600.0,99.387
Be1H2O2,500.0,92.994
Be1H2O2,400.0,82.902
Be1H2O2,300.0,66.053
Cr1,2700.0,68.467
Cr1,2600.0,66.111
Cr1,2500.0,63.764
Cr1,2400.0,61.425
Cr1,2300.0,59.099
Cr1,2200.0,56.785
Cr1,2130.0,55.174
Cr1,2100.0,54.488
Cr1,2000.0,52.20399999999999
Cr1,1900.0,49.944
Cr1,1800.0,47.706
Cr1,1700.0,45.50100000000001
Cr1,1600.0,43.32899999999999
Cr1,1500.0,41.2
Cr1,1400.0,39.125
Cr1,1300.0,37.116
Cr1,1200.0,35.187
Cr1,1100.0,33.472
Cr1,1000.0,31.861
Cr1,900.0,30.501
Cr1,800.0,29.434
Cr1,700.0,28.577
Cr1,600.0,27.719
Cr1,500.0,26.631
Cr1,450.0,25.983
Cr1,400.0,25.23
Cr1,350.0,24.393
Cr1,311.5,23.681
Cr1,300.0,23.472
Cr1,298.0,23.434
B1N1,298.0,19.719
B1N1,3400.0,48.953
B1N1,3300.0,48.953
B1N1,3200.0,48.953
B1N1,3100.0,48.953
B1N1,3000.0,48.953
B1N1,2900.0,48.953
B1N1,2800.0,48.953
B1N1,2700.0,48.953
B1N1,2600.0,48.953
B1N1,2500.0,48.953
B1N1,2400.0,48.953
B1N1,2300.0,48.953
B1N1,2200.0,48.953
B1N1,2100.0,48.953
B1N1,2000.0,48.953
B1N1,1900.0,48.953
B1N1,1800.0,48.953
B1N1,1700.0,48.93899999999999
B1N1,1600.0,48.911
B1N1,1500.0,48.702
B1N1,1400.0,48.283
B1N1,1300.0,47.698
B1N1,1200.0,46.861
B1N1,1100.0,45.815
B1N1,1000.0,44.35
B1N1,900.0,42.593
B1N1,800.0,40.459
B1N1,700.0,38.074
B1N1,600.0,35.229
B1N1,500.0,31.38
B1N1,400.0,26.276
B1N1,300.0,19.849
Co1O4S1,1900.0,173.259
Co1O4S1,1800.0,171.921
Co1O4S1,1700.0,170.498
Co1O4S1,1600.0,169.075
Co1O4S1,1500.0,167.56900000000005
Co1O4S1,1400.0,165.979
Co1O4S1,1300.0,164.30599999999995
Co1O4S1,1200.0,162.465
