formula,T,Cp
Be1F2,1200.0,87.529
Be1F2,1100.0,84.182
Be1F2,1000.0,80.835
Be1F2,900.0,77.488
Be1F2,825.0,74.977
Be1F2,800.0,74.14
Be1F2,700.0,70.793
Be1F2,600.0,67.446
Be1F2,500.0,76.048
Be1F2,500.0,64.09899999999999
Be1F2,400.0,62.522
Be1F2,300.0,52.028
Be1F2,298.0,51.819
B1H4Na1,1900.0,133.679
B1H4Na1,1800.0,133.553
B1H4Na1,1700.0,133.511
B1H4Na1,1600.0,133.428
B1H4Na1,1500.0,133.30200000000002
B1H4Na1,1400.0,133.135
B1H4Na1,1300.0,132.675
B1H4Na1,1200.0,131.754
B1H4Na1,1100.0,130.039
B1H4Na1,1000.0,127.445
B1H4Na1,900.0,124.265
B1H4Na1,800.0,120.248
B1H4Na1,700.0,115.269
B1H4Na1,600.0,108.617
B1H4Na1,500.0,101.797
B1H4Na1,400.0,94.558
B1H4Na1,300.0,86.64200000000002
B1H4Na1,298.0,86.48299999999998
Al1Br3,298.0,100.578
Al1Br3,1400.0,124.934
Al1Br3,1300.0,124.851
Al1Br3,1200.0,124.767
Al1Br3,1100.0,124.683
Al1Br3,1000.0,124.6
Al1Br3,900.0,124.516
Al1Br3,800.0,124.432
Al1Br3,700.0,124.348
Al1Br3,600.0,124.265
Al1Br3,500.0,123.846
Al1Br3,400.0,117.78
Al1Br3,370.6,113.078
Al1Br3,300.0,100.816
Be2O4Si1,2900.0,194.58900000000003
Be2O4Si1,2800.0,193.702
Be2O4Si1,2700.0,192.815
Be2O4Si1,2600.0,191.928
Be2O4Si1,2500.0,191.041
Be2O4Si1,2400.0,190.154
Be2O4Si1,2300.0,189.267
Be2O4Si1,2200.0,188.38
Be2O4Si1,2100.0,187.493
Be2O4Si1,2000.0,186.606
Be2O4Si1,1900.0,185.686
Be2O4Si1,1800.0,184.749
Be2O4Si1,1700.0,183.803
Be2O4Si1,1600.0,182.849
Be2O4Si1,1500.0,181.887
Be2O4Si1,1400.0,180.916
Be2O4Si1,1300.0,179.636
Be2O4Si1,1200.0,178.197
Be2O4Si1,1100.0,176.356
Be2O4Si1,1000.0,174.054
Be2O4Si1,900.0,170.74900000000005
Be2O4Si1,800.0,166.021
Be2O4Si1,700.0,158.866
Be2O4Si1,600.0,149.16
Be2O4Si1,500.0,136.942
Be2O4Si1,400.0,120.75
Be2O4Si1,300.0,96.098
Be2O4Si1,298.0,95.563
Be1F4Li2,1400.0,299.5540000000001
Be1F4Li2,1300.0,284.64
Be1F4Li2,1200.0,269.72900000000004
Be1F4Li2,1100.0,254.819
Be1F4Li2,1000.0,239.911
Be1F4Li2,900.0,225.004
Be1F4Li2,800.0,210.1
Be1F4Li2,732.2,199.995
Be1F4Li2,700.0,195.18400000000003
Be1F4Li2,600.0,180.247
Be1F4Li2,500.0,165.352
Be1F4Li2,400.0,150.457
Be1F4Li2,300.0,135.52
Be1F4Li2,298.0,135.269
Cs1,900.0,37.656
Cs1,800.0,37.635
Cs1,700.0,37.614
Cs1,600.0,37.53
Cs1,500.0,37.196
Cs1,450.0,36.777
Cs1,400.0,36.066
Cs1,350.0,34.84
Cs1,301.55,32.501
Cs1,300.0,32.355
Cs1,298.0,32.195
Al1H4Li1,298.0,86.4
Al1H4Li1,1900.0,123.763
Al1H4Li1,1800.0,123.247
Al1H4Li1,1700.0,122.717
Al1H4Li1,1600.0,122.173
Al1H4Li1,1500.0,121.615
Al1H4Li1,1400.0,121.043
Al1H4Li1,1300.0,120.416
Al1H4Li1,1200.0,119.746
Al1H4Li1,1100.0,118.847
Al1H4Li1,1000.0,117.78
Al1H4Li1,900.0,116.2
Al1H4Li1,800.0,114.223
Al1H4Li1,700.0,111.294
Al1H4Li1,600.0,106.901
Al1H4Li1,500.0,101.253
Al1H4Li1,400.0,93.722
Al1H4Li1,300.0,86.944
Cl1Cu1,1400.0,66.874
Cl1Cu1,1300.0,66.459
Cl1Cu1,1200.0,66.01100000000001
Cl1Cu1,1100.0,65.531
Cl1Cu1,1000.0,65.01899999999999
Cl1Cu1,900.0,64.388
Cl1Cu1,800.0,63.68
Cl1Cu1,703.0,62.791
Cl1Cu1,700.0,62.76
Cl1Cu1,600.0,61.505
Cl1Cu1,500.0,59.831
Cl1Cu1,400.0,56.902
Cl1Cu1,300.0,48.771
Cl1Cu1,298.0,48.534
Cu1O1,1900.0,62.494
Cu1O1,1800.0,61.726000000000006
Cu1O1,1700.0,60.958
Cu1O1,1600.0,60.181
Cu1O1,1500.0,59.395
Cu1O1,1400.0,58.601000000000006
Cu1O1,1300.0,57.8
Cu1O1,1200.0,56.978
Cu1O1,1100.0,56.135
Cu1O1,1000.0,55.262
Cu1O1,900.0,54.34
Cu1O1,800.0,53.349
Cu1O1,700.0,52.24
Cu1O1,600.0,50.935
Cu1O1,500.0,49.261
Cu1O1,400.0,46.806
Cu1O1,300.0,42.364
Cu1O1,298.0,42.246
Cr2N1,2400.0,127.277
Cr2N1,2300.0,124.934
Cr2N1,2200.0,122.591
Cr2N1,2100.0,119.955
Cr2N1,2000.0,117.487
Cr2N1,1900.0,114.767
Cr2N1,1800.0,112.508
Cr2N1,1700.0,109.788
